        Duration (days);持续时间（天）;
        Start Day;开始日;
     Low;低;
    Bus #;总线;
    Element #;元素;
   Alert;警告;
   Dirty;脏;
   Slave;从机;
  Day of Week (1=Monday);一周内第几天(1=周一);
  Master;主机;
  Month;月;
  Week Number of Month;一个月第几周;
 ;0;
 Access Denied.; 访问受限;
 Disable;停用;
 Invalid Min/Max Range.; 无效的上下限;
 Max Range must be greater than Min Range.; 上限必须大于下限;
 On Auto;自动;
 On Cool;制冷;
 On Heat;制热;
 Please enter the values with in the range.; 输入超限;
%;%;
'From'  ;'从';
'From' time should not exceed 'To' time  ;'开始' 时间不能超过'结束' 时间;
'From';开始;
'To'  ;'到';
'To' time should be greater than 'From' time  ;“到”时间必须大于“从”时间;
'To' time should be greater than 'From' time;结束时间必须大于起始时间;
'To';结束;
(Only for Legacy DV4);(仅对DV4有效);
(UTC+01:00) Brussels,Copenhagen,Madrid,Paris;(UTC+01:00) Brussels,Copenhagen,Madrid,Paris;
(UTC+03:00) Moscow,St.Petersburg,Volgograd;(UTC+03:00) Moscow,St.Petersburg,Volgograd;
(UTC+04:00) Abu Dhabi,Muscat;(UTC+04:00) Abu Dhabi,Muscat;
(UTC+05:30) New Delhi, Mumbai ;(UTC+05:30) New Delhi, Mumbai ;
(UTC+07:00) Hanoi, Bangkok;(UTC+07:00) Hanoi, Bangkok;
(UTC+08:00) Beijing,Chongqing,Hong Kong,Urumqi;(UTC+08:00) 北京,重庆,香港,乌鲁木齐;
(UTC+08:00) Kuala Lumpur,Singapore;(UTC+08:00) Kuala Lumpur,Singapore;
(UTC+09:00) Seoul, Jayapura;(UTC+09:00) Seoul, Jayapura;
(UTC+10:00) Canberra,Melbourne,Sydney;(UTC+10:00) Canberra,Melbourne,Sydney;
(UTC-00:00) Dublin,Edinburgh,Lisbon,London;(UTC-00:00) Dublin,Edinburgh,Lisbon,London;
(UTC-00:00) UTC;(UTC-00:00) UTC;
(UTC-05:00) Eastern Time(US and Canada);(UTC-05:00) Eastern Time(US and Canada);
(UTC-07:00) Arizona;(UTC-07:00) Arizona;
(UTC-08:00) Pacific Time (US and Canada);(UTC-08:00) Pacific Time (US and Canada);
***********;***********;
0 = STOP,1 = START;0 = 停机,1 = 启动;
0 = Stop, 1 = Run;0 = 停机, 1 = 运行;
0 min;0 分钟;
0-5V=0, 0-10V=1;0-5V=0, 0-10V=1;
0.00;0.00;
0.0;0.0;
0000;0000;
000;000;
00;00;
0;0;
0=Disable;0=禁用;
0=STOP, 1=RUN, 2=RESET;0=停机, 1=运行, 2=重置;
0=STOP,1=RUN;0=停机,1=运行;
1 Bit=1,2 Bits=2;1位=1,2位=2;
1 Shot;同步一次;
1. Password can contain up to 23 characters \n2. The new user Password should not be the same as Basic/Admin/Factory passwords;1. 新用户密码最多23个字符\n2. 新密码不能与当前密码或其他级别密码重复;
1.8V Supply Fault;1.8V电源故障;
100% Lift Demand Limit;满负荷限制;
10K Therm=3, 5K Therm=4;10K热敏电阻=3, 5K热敏电阻=4;
185PSI=0, 300PSI=1;185PSI=0, 300PSI=1;
19200;19200;
19200=3, 38400=4;19200=3, 38400=4;
19DV Outputs Status;19DV输出参数;
19DV Quick Test;19DV快速测试;
19DV;19DV;
19DV=2;19DV=2;
19XR2~5/C/D/E/V=1;19XR2~5/C/D/E/V=1;
19XR6/7;19XR6/7;
19XR6/7=0;19XR6/7=0;
19XR;19XR;
19XRF;19XRF;
19XRF=3;19XRF=3;
1=32VSF,  2=Commercial;1=32VSF,  2=商用谐波滤波器;
1CR Start Complete;1CR启动完成;
1CR Stop Complete;1CR停机完成;
1M Start/Run Fault;1M启动/运行故障;
1M/2M Stop Fault;1M/2M停机故障;
1m/4h=2, Comb. 0&1=3;1分钟/4小时=2, 0&1组合=3;
1st Stage Bearing Temp;1级轴承温度;
2 = Device Fault;2 = 设备故障;
20% Lift Demand Limit;最低负荷限制;
24:MM;HH:MM AM;
24V Supply Fault;24V电源故障;
2KHz=0, 4KHz=1;2KHz=0, 4KHz=1;
2M Start/Run Fault;2M启动/运行故障;
2nd Stage Bearing Temp;2级轴承温度;
3 = RESET;3 = 重置;
3 = Service Fault;3 = 服务故障;
32VSF Control Cmd;32VSF控制命令;
38400 = 2, 57600 = 3;38400 = 2, 57600 = 3;
38400;38400;
4 = Loss Comm;4 = 失去通讯;
4-20mA Damper;调节阀（模拟型）;
4-20mA;4-20mA;
4-valve Lube(Legacy DV4);4电动阀制冷剂润滑选项(DV4);
44PSI=0, 72PSI=1;44PSI=0, 72PSI=1;
4800=1, 9600=2;4800=1, 9600=2;
5 = Disable;5 = 停用;
5V Sensor Power Monitor;5V供电监测;
76800 = 4, 115200 = 5;76800 = 4, 115200 = 5;
9600 = 0, 19200 = 1;9600 = 0, 19200 = 1;
9600;9600;
9600=0,19200=1,38400=2;9600=0,19200=1,38400=2;
<error>;<错误>;
<no link>;<没有链接>;
@;@;
ACCESS DENIED !;禁止访问!;
AHF Alarm status;谐波滤波器报警状态;
AHF Control Cmd;谐波滤波器控制命令;
AHF Fault status;谐波滤波器故障状态;
AHF Option;谐波滤波器选项;
AHF Ready;谐波滤波器待机;
AHF Status;谐波滤波器状态;
AHF;谐波滤波器;
ALARM;报警;
ALC Auto Id Scheme;ALC自动ID策略;
ALERT;警告;
ALM MESSAGE END;报警信息结束;
ALM-200 Sensor Fault - Leaving Chilled Water;报警-200 传感器故障-冷水出水温度;
ALM-201 Sensor Fault - Entering Chilled Water;报警-201 传感器故障-冷水进水温度;
ALM-202 Sensor Fault - Leaving Cond Water Temp;报警-202 传感器故障-冷却水出水温度;
ALM-203 Sensor Fault - Entering Cond Water Temp;报警-203 传感器故障-冷却水进水温度;
ALM-204 Sensor Fault - Comp Discharge Temp;报警-204 传感器故障-压缩机排气温度;
ALM-205 Sensor Fault - Oil Sump Temp;报警-205 传感器故障-油箱温度;
ALM-206 Sensor Fault - Oil Supply Temp;报警-206 传感器故障-供油温度;
ALM-207 Sensor Fault - Evap Refrig Liquid Temp;报警-207 传感器故障-蒸发器制冷剂液体温度;
ALM-208 Sensor Fault - Low Speed Motor End Bearing Temp;报警-208 传感器故障-低速电机侧轴承温度;
ALM-209 Sensor Fault - Low Speed Comp End Bearing Temp;报警-209 传感器故障-低速压缩机侧轴承温度;
ALM-210 Sensor Fault - High Speed Motor End Bearing Temp;报警-210 传感器故障-高速电机侧轴承温度;
ALM-211 Sensor Fault - High Speed Comp End Bearing Temp;报警-211 传感器故障-高速压缩机侧轴承温度;
ALM-212 Sensor Fault - Compressor Motor Winding 1 Temp;报警-212 传感器故障-压缩机电机绕组1温度;
ALM-213 Sensor Fault - Compressor Motor Winding 2 Temp;报警-213 传感器故障-压缩机电机绕组2温度;
ALM-214 Sensor Fault - Compressor Motor Winding 3 Temp;报警-214 传感器故障-压缩机电机绕组3温度;
ALM-215 Sensor Fault - Condenser Pressure;报警-215 传感器故障-冷凝器压力;
ALM-216 Sensor Fault - Evaporator Pressure;报警-216 传感器故障-蒸发器压力;
ALM-217 Sensor Fault - Economizer Pressure;报警-217 传感器故障-经济器压力;
ALM-218 Sensor Fault - Diffuser Pressure;报警-218 传感器故障-扩压器压力;
ALM-219 Sensor Fault - Oil Sump Pressure;报警-219 传感器故障-油箱压力;
ALM-220 Sensor Fault - Oil Supply Pressure;报警-220 传感器故障-供油压力;
ALM-221 Sensor Fault - Comp Thrust Bearing Oil Temp;报警-221 传感器故障-压缩机推力轴承油温;
ALM-223 Sensor Fault - Purge Compressor Suction Temp;报警-223 传感器故障-抽气装置压缩机吸气温度;
ALM-225 Sensor Fault - Pump Inlet Pressure;报警-225 传感器故障-制冷剂泵进口压力;
ALM-226 Sensor Fault - Bearing Inlet Pressure;报警-226 传感器故障-轴承进口压力;
ALM-227 Sensor Fault - Bearing Outlet Pressure;报警-227 传感器故障-轴承出口压力;
ALM-228 Sensor Fault - Common CHWS Temp;报警-228 传感器故障-总管供水温度;
ALM-229 Sensor Fault - Common CHWR Temp;报警-229 传感器故障-总管回水温度;
ALM-230 Prestart Failure - High Bearing Temperature;报警-230 预启动失败-轴承温度过高;
ALM-231 Prestart Failure - High Motor Temperature;报警-231 预启动失败-电机温度过高;
ALM-232 Prestart Failure - High Discharge Temp;报警-232 预启动失败-排气温度过高;
ALM-233 Prestart Failure - Low Refrigerant Temp;报警-233 预启动失败-制冷剂温度过低;
ALM-234 Prestart Failure - Low Line Voltage;报警-234 预启动失败-线电压过低;
ALM-235 Prestart Failure - High Line Voltage;报警-235 预启动失败-线电压过高;
ALM-236 Guide Vane 1 Calibration Not Completed;报警-236 导叶1校准未完成;
ALM-237 Prestart Failure - No Power Supply;报警-237 预启动失败-未得到供电许可;
ALM-238 Guide Vane 2 Calibration Not Completed;报警-238 导叶2校准未完成;
ALM-239 Envelope Control Valve Calibration Not Completed;报警-239 先进稳定控制阀校准未完成;
ALM-240 Damper Valve Calibration Not Completed;报警-240 经济器调节阀校准未完成;
ALM-250 Protective Limit - Oil Pressure Difference Failure;报警-250 保护性限制-油压差失败;
ALM-251 Protective Limit - Low Chilled Water Flow;报警-251 保护性限制-冷水流量过低;
ALM-252 Protective Limit - Low Condenser Water Flow;报警-252 保护性限制-冷却水流量过低;
ALM-253 Protective Limit - High Discharge Temp;报警-253 保护性限制-排气温度过高;
ALM-254 Protective Limit - Low Evap Refrigerant Temp;报警-254 保护性限制-蒸发器制冷剂温度过低;
ALM-255 Protective Limit - High Motor Temperature;报警-255 保护性限制-电机温度过高;
ALM-256 Protective Limit - High Bearing Temperature;报警-256 保护性限制-轴承温度过高;
ALM-257 Protective Limit - High Condenser Pressure;报警-257 保护性限制-冷凝器压力过高;
ALM-258 Protective Limit - Spare Safety Device;报警-258 保护性限制-备用安全装置;
ALM-259 Protective Limit - Excessive Compressor Surge;报警-259 保护性限制-压缩机喘振过多;
ALM-260 Protective Limit - Comp Start Relay Start Failure;报警-260 保护性限制-压缩机继电器启动失败;
ALM-261 Protective Limit - Low Temp / Potential Evap Freeze-up;报警-261 保护性限制-蒸发器温度低/防冻预先保护;
ALM-262 Protective Limit - Low Temp / Potential Cond Freeze-up;报警-262 保护性限制-冷凝器温度低/防冻预先保护;
ALM-263 Protective Limit - Invalid Diffuser Config;报警-263 保护性限制-扩压器配置无效;
ALM-264 Protective Limit - Diffuser Position Fault;报警-264 保护性限制-扩压器位置故障;
ALM-265 Protective Limit - Refrigerant Leak;报警-265 保护性限制-制冷剂泄漏;
ALM-266 Protective Limit - IOB Low Voltage;报警-266 保护性限制-IOB低电压;
ALM-267 Protective Limit - Guide Vane 1 Fault;报警-267 保护性限制-导叶1故障;
ALM-268 Protective Limit - Damper Valve Fault;报警-268 保护性限制-经济器调节阀故障;
ALM-269 Protective Limit - Envelope Control Valve Fault;报警-269 保护性限制-先进稳定控制阀故障;
ALM-270 Protective Limit - High Cond Water Flow;报警-270 保护性限制-冷却水流量过高;
ALM-271 Protective Limit - Emergency Stop;报警-271 保护性限制-紧急停机;
ALM-272 Protective Limit - ISM Config Conflict;报警-272 保护性限制-ISM配置冲突;
